map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,overall_score,planner_type,path_role
mixed_shapes,34,True,False,10.034322,14.004815,100,13.073641,0.931174,4,12.962601,6.871995,1.274755,rrt_star,fastest time
mixed_shapes,1,True,False,10.038188,13.696811,96,13.072588,0.624224,6,11.818520,6.992346,1.248094,rrt_star,lowest uncertainty
mixed_shapes,4,True,False,10.014349,15.349220,105,5.257537,10.091683,3,15.251824,8.297699,1.647240,rrt_star,lowest uncertainty
mixed_shapes,7,True,False,10.018122,13.452817,96,12.940203,0.512614,6,11.845336,6.829855,1.230951,rrt_star,lowest uncertainty
mixed_shapes,10,True,False,10.029996,13.803190,96,13.049323,0.753867,3,12.210531,6.688623,1.218843,rrt_star,lowest uncertainty
mixed_shapes,13,True,False,10.009261,12.737994,89,12.397001,0.340993,2,10.921062,6.861684,1.139208,rrt_star,lowest uncertainty
mixed_shapes,16,True,False,10.048833,14.149954,100,13.506735,0.643219,6,12.493698,6.926775,1.279499,rrt_star,lowest uncertainty
mixed_shapes,19,False,True,10.009112,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
mixed_shapes,22,True,False,10.042046,13.828490,96,13.262988,0.565502,2,12.095965,7.091379,1.225864,rrt_star,lowest uncertainty
mixed_shapes,25,True,False,10.001010,12.957277,90,12.449494,0.507782,2,11.885856,6.527542,1.161745,rrt_star,lowest uncertainty
mixed_shapes,28,True,False,10.000869,13.694128,95,13.157695,0.536433,3,12.167215,6.413140,1.193723,rrt_star,lowest uncertainty
mixed_shapes,31,True,False,10.036148,13.925108,99,13.272924,0.652184,2,11.493151,7.126039,1.210994,rrt_star,lowest uncertainty
mixed_shapes,34,True,False,10.042171,14.004815,100,13.073641,0.931174,4,12.962601,6.871995,1.274755,rrt_star,lowest uncertainty
mixed_shapes,1,True,False,10.031292,13.903701,98,13.279477,0.624224,6,12.252606,7.027206,1.270551,rrt_star,overall best
mixed_shapes,4,True,False,10.080728,15.349220,105,5.257537,10.091683,3,15.251824,8.297699,1.647240,rrt_star,overall best
mixed_shapes,7,True,False,10.041606,13.877972,96,13.365358,0.512614,6,12.112721,6.575864,1.235699,rrt_star,overall best
mixed_shapes,10,True,False,10.057512,13.803190,96,13.049323,0.753867,3,12.210531,6.688623,1.218843,rrt_star,overall best
mixed_shapes,13,True,False,10.040031,14.883364,104,4.302783,10.580581,3,12.713128,7.346625,1.499453,rrt_star,overall best
mixed_shapes,16,True,False,10.018116,14.667005,104,13.729727,0.937278,5,15.006435,7.946316,1.437425,rrt_star,overall best
mixed_shapes,19,False,True,10.068780,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
mixed_shapes,22,True,False,10.006144,14.719556,104,14.075298,0.644259,4,13.004657,7.938062,1.352321,rrt_star,overall best
mixed_shapes,25,True,False,10.059538,12.996014,90,12.488232,0.507782,2,11.832302,6.521320,1.160466,rrt_star,overall best
mixed_shapes,28,True,False,10.034938,15.092204,103,14.676555,0.415649,3,14.035694,7.771816,1.373176,rrt_star,overall best
mixed_shapes,31,True,False,10.077353,13.925108,99,13.272924,0.652184,2,11.493151,7.126039,1.210994,rrt_star,overall best
mixed_shapes,34,True,False,10.061263,14.046134,99,13.113156,0.932978,4,12.169161,7.030104,1.257540,rrt_star,overall best
narrow_passage,1,True,False,10.000399,15.837630,110,15.379105,0.458525,2,15.932333,8.935811,1.518892,rrt_star,shortest distance
narrow_passage,4,True,False,10.037489,15.890410,111,15.217626,0.672783,3,15.493748,8.731638,1.506895,rrt_star,shortest distance
narrow_passage,7,True,False,10.000493,15.646872,111,15.155234,0.491638,2,15.265227,8.753414,1.480492,rrt_star,shortest distance
narrow_passage,10,True,False,10.003667,16.224769,112,15.649365,0.575404,2,15.524970,9.160576,1.530136,rrt_star,shortest distance
narrow_passage,13,True,False,10.004121,15.794813,111,15.281071,0.513742,2,15.211272,8.748227,1.482433,rrt_star,shortest distance
narrow_passage,16,True,False,10.012380,15.776051,110,15.289124,0.486927,2,15.425077,8.955564,1.501351,rrt_star,shortest distance
narrow_passage,19,True,False,10.010602,15.649008,111,15.087440,0.561567,2,14.754022,8.475754,1.447393,rrt_star,shortest distance
narrow_passage,22,True,False,10.000228,15.899657,111,15.326059,0.573599,2,15.810802,8.809452,1.510909,rrt_star,shortest distance
narrow_passage,25,True,False,10.011169,15.655234,108,15.147452,0.507782,2,15.705197,8.623314,1.488617,rrt_star,shortest distance
narrow_passage,28,True,False,10.010549,15.962713,112,15.303481,0.659232,2,15.357527,8.519558,1.480939,rrt_star,shortest distance
narrow_passage,31,True,False,10.001443,15.838455,109,15.260376,0.578079,2,15.492876,8.853975,1.501012,rrt_star,shortest distance
narrow_passage,34,True,False,10.003656,15.906879,111,15.157184,0.749696,4,14.974220,8.546325,1.489543,rrt_star,shortest distance
narrow_passage,1,True,False,10.019426,16.457506,116,15.873572,0.583934,4,15.830249,8.808864,1.545707,rrt_star,fastest time
narrow_passage,4,True,False,10.059897,17.974055,122,8.034211,9.939845,2,16.632671,9.518373,1.821394,rrt_star,fastest time
narrow_passage,7,True,False,10.002068,16.403227,114,15.672203,0.731023,4,15.557919,9.016598,1.550224,rrt_star,fastest time
narrow_passage,10,True,False,10.045754,17.047988,122,6.378181,10.669807,4,17.583422,9.176631,1.845613,rrt_star,fastest time
narrow_passage,13,True,False,10.003904,17.799419,124,9.088577,8.710842,3,17.639768,10.000167,1.866604,rrt_star,fastest time
